"CLAVE SITIO","CLAVE DE MONITOREO","NOMBRE DEL SITIO","FECHA REALIZACIÓN","Año","DQO_ESTADO","TIPO CUERPO DE AGUA","COLI_FEC","COLI_TOT","E_COLI","N_NH3","N_NO2","N_TOTK","TOX_D_48_UT","P_TOT","ORTO_PO4","COLOR_VER","ABS_UV","CONDUC_CAMPO","pH_CAMPO","OD_mgL","SAAM","SST","CD_TOT","CR_TOT","HG_TOT","NI_TOT","CN_TOT","DUR_TOT","TEMP_AMB","TEMP_AGUA","CAUDAL","COT_NOM","TOX_NOM","TIPO_LOTICO","y"
"DLPUE2043","DLPUE2043-240416","RIO NEXAPA 17",42479,2016,"INCUMPLE","LÓTICO",930,2400,90,0.038,0.047,0.931,0.5,0.137,0.137,20,0.096,1621,8.3,5.66,0.08,12,0.0006505,0.0088,0.00010065,0.0113,5e-04,680,31.4,24.1,130.6,0,0,1,1
"DLPUE2044","DLPUE2044-010418","RIO NEXAPA 16",43195,2018,"CUMPLE","LÓTICO",110,200,70,0.231,0.0025,0.376,0.5,0.255,0.113,5,0.042,1005,8.1,3.21,0.141,5,0.0006505,6e-04,0.00010065,0.00651,5e-04,746,25.9,20.6,1694.8,0,0,1,0
"DLPUE2034","DLPUE2034-190616","RIO NEXAPA 15",42538,2016,"INCUMPLE","LÓTICO",24000,24000,930,5.262,0.54,10.165,0.5,1.662,1.151,40,0.17,905,8.2,6.24,0.6,505,0.0006505,0.0264,0.00010065,0.0231,5e-04,282,20.2,19.8,4485.54885928619,0,0,1,1
"DLPUE2054","DLPUE2054-170313","RIO XOCHIAC AGUAS ABAJO DEL COLECTOR EL CARMEN CONFLUENCIA CON RIO XOCHIAC",41346,2013,"INCUMPLE","LÓTICO",24000,240000,24000,1.222,0.026,4.209,4.06,1.883,0.218,150,0.0045,1858,7.03,0.5,4.47650740425532,204,0.0006505,6e-04,0.00010065,0.00021,0.011257225522666,136,26.5,28.8,20.9,1,0,1,1
"DLPUE2041","DLPUE2041-260715","NEXAPA ENTRADA A PUCTLA",42207,2015,"INCUMPLE","LÓTICO",24000,24000,11000,0.063,0.193,1.551,0.5,1.597,0.822,100,0.348,713.3,8.1,4.6,0.16,1213.33,0.0044,0.0604,7e-04,0.06,5e-04,260,25.9,24,3557,0,0,1,1
"DLPUE2034","DLPUE2034-290614","RIO NEXAPA 15",41817,2014,"INCUMPLE","LÓTICO",24000,24000,750,1.088,0.451,1.088,0.5,0.952,0.611,100,0.395,572.6,7,4.9,0.005,680,0.0006505,0.034,0.00010065,0.0297,5e-04,229.7,23.9,20.2,10488,0,0,1,1
"DLPUE2074M1","DLPUE2074M1-140914","SANTA MARÍA TEXMELUCAN",41894,2014,"CUMPLE","LÓTICO",24000,24000,11000,0.00175,0.0025,0.00175,0.5,0.081,0.059,2.5,0.042,92,7,7.1,0.277,18,0.0006505,0.0072,0.00010065,0.0021,5e-04,34,17.5,10.4,68,0,0,1,0
"DLPUE2038","DLPUE2038-110819","BACARDI Y COMPAÑIA, S.A. DE C.V. (AGUAS ARRIBA)",43687,2019,"INCUMPLE","LÓTICO",24196,24196,24196,3.836055,1.052217,7.765835,0.5,1.82306,0.85272,30,0.162,917,8,7.79,0.246,167.5,0.0006505,0.03,9.4e-05,0.0333,0.0025,293.598,29.2,21.8,167490.772051155,0,0,1,1
"DLPUE1992M1","DLPUE1992M1-120217","RA-1 RIO ATOYAC, ANTES TLAHUAPAN (ESTACIÓN TESTIGO)",42773,2017,"CUMPLE","LÓTICO",1500,2100,750,1.154,0.0025,1.235,0.5,0.5,0.39,10,0.054,231,8,4.61,0.005,5,0.0006505,6e-04,0.00066,0.00397,5e-04,90,21.1,11.9,639.4,0,0,1,0
"DLPUE2031","DLPUE2031-210615","RIO NEXAPA 10",42174,2015,"INCUMPLE","LÓTICO",24000,24000,11000,1.044,0.118,4.271,0.5,1.306,0.984,100,0.377,484,7.3,3.4,0.28,1010,0.0051,0.039,0.00010065,0.0556,5e-04,194,21.8,19.6,4906,0,0,1,1
"DLPUE2038","DLPUE2038-251112","BACARDI Y COMPAÑIA, S.A. DE C.V. (AGUAS ARRIBA)",41227,2012,"INCUMPLE","LÓTICO",2400,2400,150,4.74,0.0025,8.19,0.5,1.573,4.814,2.5,0.034,1245.25,8.43,3.7,1.6619307188656,63,0.011,6e-04,0.00010065,0.00021,0.0020258471687276,348.88,23,20.7,142.1,0,0,1,1
"DLPUE2047","DLPUE2047-270518","RIO NEXAPA 19",43241,2018,"CUMPLE","LÓTICO",11000,24000,4600,0.147,0.068,0.241,0.5,0.277,0.223,10,0.71,783,7.7,4.0209251215158,0.005,16,0.0006505,0.02459,0.00010065,0.00472,5e-04,1040,26.5,21.8,2550,0,0,1,0
"DLPUE2083","DLPUE2083-190616","RIO MIXTECO (ANTES DE CONFLUIR AL RIO ATOYAC)",42535,2016,"INCUMPLE","LÓTICO",2400,2400,430,1.506,0.0258,2.357,0.5,3.44,2.465,20,0.101,637,7.1,4.26,0.09,9550,0.0173,0.1205,8e-04,0.0883,5e-04,1232,27.2,25.8,40123.5916300366,0,0,1,1
"DLPUE2066","DLPUE2066-200915","DESPUES DE BACHOCO",42266,2015,"INCUMPLE","LÓTICO",24000,24000,11000,4.705,0.0025,87.893,0.5,2.958,1.281,400,0.849,1589,7.7,0.5,5,180,0.0006505,6e-04,7e-04,0.0082,5e-04,282,23.2,21.8,15,1,0,1,1
"DLPUE2025","DLPUE2025-021212","RIO NEXAPA 6",41260,2012,"CUMPLE","LÓTICO",2400,2400,14,1.58,0.174,2.52,0.5,0.406,1.242,2.5,0.0045,331,7.88,4.9,2.34438573675541,5,0.0006505,6e-04,0.00010065,0.068,0.0010298659328083,143.08,20,14.5,183,0,0,1,0
"DLPUE2063","DLPUE2063-270714","PUEBLA ALSESECA  (A) AGUAS ARRIBA",41843,2014,"INCUMPLE","LÓTICO",24000,24000,4600,1.83,0.083,22.675,0.5,6.438,5.809,120,0.891,1651,7.8,1,5.824,68.6,0.0006505,0.0096,0.00010065,0.0123,5e-04,292,21.3,18.9,593.3,1,1,1,1
"DLPUE2030","DLPUE2030-210413","RIO NEXAPA 11",41384,2013,"INCUMPLE","LÓTICO",1400,2000,900,1.592,0.0025,28.285,1.02,6.888,6.29,100,0.396,1874,7.86,2.6,6.64274203096539,10,0.0006505,6e-04,0.00010065,0.00021,0.0008854398874243,640,22.5,21.2,4463.5,0,0,1,1
"DLPUE2036","DLPUE2036-020820","NEXAPA-LAS FAJANAS P1 (33)",44043,2020,"INCUMPLE","LÓTICO",24000,24130.5536521806,24000,6.432,0.723,6.651,0.5,1.892,1.203,40,0.159015316223914,1463,7.9,3.3,0.116,241.18,0.0006505,0.03523,0.00010065,0.01991,5e-04,260,23.7,19.8,3842.60217635717,0,0,1,1
"DLPUE2037","DLPUE2037-091218","BACARDI Y COMPAÑIA, S.A. DE C.V. (AGUAS ABAJO)",43439,2018,"INCUMPLE","LÓTICO",4600,11000,2400,5.362,1.397,6.239,0.5,2.164,1.62,30,0.148,1145,8.4,4.16,0.232,34,0.0006505,0.01206,0.00010065,0.00752,5e-04,336,34.2,20.1,2613,0,0,1,1
"DLPUE2085","DLPUE2085-010315","RIO NEXAPA 21",42059,2015,"CUMPLE","LÓTICO",640,1200,430,0.576,0.02,0.832,0.5,0.068,0.059,2.5,0.083,2140,8.3,5.25,0.005,11,0.0006505,6e-04,0.00010065,0.0073,5e-04,1012,34.8,26.2,2404,0,0,1,0
"DLPUE2033","DLPUE2033-090613","RIO NEXAPA 13",41433,2013,"CUMPLE","LÓTICO",2100,2100,2100,0.623,0.024,8.276,0.5,1.21,0.5,10,0.054,367,7.95,5.8,0.32236524372751,66,0.0006505,6e-04,0.00010065,0.0065,0.000683911939286,150,23.1,19,243.5,0,0,1,0
"DLPUE2042","DLPUE2042-100313","PUCTLA",41340,2013,"INCUMPLE","LÓTICO",640,750,640,1.848,0.028,1.848,0.5,1.663,2.145,60,0.0045,1497,8.33,2.3,1.96315051628143,21,0.0006505,6e-04,0.00010065,0.00021,0.001790240476515,456,29.6,21,758.22,0,0,1,1
"DLPUE2023","DLPUE2023-080418","RIO NEXAPA 4",43201,2018,"INCUMPLE","LÓTICO",24000,24000,24000,46.565,0.0025,50.05,0.5,13.123,9.448,200,0.818,921,7.6,0.5,13,435.71,0.0006505,0.07398,0.00055,0.01196,5e-04,164,21.3,19.5,11.6,0,1,1,1
"DLPUE2031","DLPUE2031-270915","RIO NEXAPA 10",42268,2015,"INCUMPLE","LÓTICO",24000,24000,11000,2.536,0.161,6.681,0.5,0.792,0.455,100,0.265,783.3,7.9,6.21,0.34,610,0.0006505,0.0275,0.00010065,0.0296,5e-04,260,25.2,20.7,3434,0,0,1,1
"DLPUE1984","DLPUE1984-190616","SABORMEX, S.A. DE C.V. (ANTES CAFES DE VERACRUZ, S.A. DE C.V.) (AGUAS ARRIBA)",42537,2016,"INCUMPLE","LÓTICO",24000,24000,210,4.084,0.0025,20.98,0.5,4.684,3.544,1250,0.455,830,7.6,0.5,3.6,203.45,0.0006505,0.0253,0.00010065,0.0225,5e-04,206,19.5,18.4,3.3,0,1,1,1
"DLPUE2086","DLPUE2086-290614","RIO NEXAPA 20",41813,2014,"INCUMPLE","LÓTICO",24000,24000,2400,0.00175,0.071,1.235,0.5,1.011,2.027,150,0.347,1116,8,4.5,0.229,4220,0.0042,0.0766,7e-04,0.0615,5e-04,898.9,28.7,27.1,17293,0,0,1,1
"DLPUE2021","DLPUE2021-040318","RIO NEXAPA 0",43159,2018,"INCUMPLE","LÓTICO",24000,24000,11000,37.471,0.0025,37.922,0.5,9.527,5.575,150,0.085,702,7.6,0.5,13.709,96.36,0.0006505,0.00869,0.00010065,0.00637,5e-04,54,20.4,14.6,23.8,1,1,1,1
"DLPUE1977","DLPUE1977-230613","DESPUÉS DE LA CONFLUENCIA CON EL RÍO SAN FRANCISCO",41454,2013,"INCUMPLE","LÓTICO",2400,2400,2400,8.173,0.0025,10.773,0.5,2.24,0.172,150,0.355,802,7.11,0.5,2.61519613664126,1590,0.0015,0.0396,0.00010065,0.0534,0.0016748703367203,270,21.5,18.9,9567.9,0,0,1,1
"OCGCE3246","OCGCE3246-180916","PASO JARDIN",42627,2016,"CUMPLE","LÓTICO",210,280,150,0.07,0.0025,0.319,0.5,0.052,0.00075,20,0.03,184,8.5,6.2,0.21,17,0.0006505,6e-04,0.00010065,0.00501,5e-04,74,34.7,29.8,34163.5,0,0,1,0
"DLPUE2010","DLPUE2010-040813","RIO CAZONES 5",41485,2013,"INCUMPLE","LÓTICO",150,210,0.5,0.0644,0.0025,0.7552,0.5,0.017,0.00075,2.5,0.0318,261,8.74,6.31,0.0880078843970586,16,0.00012,6e-04,0.00010065,0.00198,0.0132856427012235,325,33.8,31.2,70960,0,0,1,1
"DLPUE2037","DLPUE2037-060414","BACARDI Y COMPAÑIA, S.A. DE C.V. (AGUAS ABAJO)",41732,2014,"INCUMPLE","LÓTICO",24000,24000,24000,3.093,1.019,14.103,0.5,2.85,2.085,30,0.284,1270,8.1,3.6,2.193,92,0.0006505,0.0128,0.00010065,0.0362,5e-04,497.8,23.1,19.3,2353,0,0,1,1
"DLPUE2036","DLPUE2036-040813","NEXAPA-LAS FAJANAS P1 (33)",41489,2013,"INCUMPLE","LÓTICO",1100,2400,460,0.527,1.71,3.607,0.5,0.781,1.046,40,0.107,869,8.32,4.2,0.469822118579137,575,0.0006505,0.031,0.00010065,0.013,0.0007368894663812,260,22,19,2747.1,0,0,1,1
"DLTLA2546","DLTLA2546-310722","TLAPALAC ANTES DE CONFLUENCIA CON RIO ATOYAC",44769,2022,"INCUMPLE","LÓTICO",24000,24130.5536521806,24000,32.05,0.0025,47.03,3.03,6.602,4.798,100,0.516893788460643,1162,7.7,1.79,0.005,81.8,0.00065074,0.028,0.0001006445,0.0206102351323918,0.003,348.863575370624,17,20,76.8,1,1,1,1
"DLPUE2029","DLPUE2029-210517","RIO NEXAPA 9",42871,2017,"INCUMPLE","LÓTICO",24000,24000,24000,12.74,0.62,19.648,0.5,4.943,1.381,100,0.814,1344.3,7.4,1.5,7.5,244.83,0.0006505,0.01927,0.00010065,0.01913,5e-04,362,24.3,20.7,3745.6,0,1,1,1
"DLPUE2001","DLPUE2001-280517","RIO NECAXA 1",42881,2017,"CUMPLE","LÓTICO",1500,2400,430,0.114,0.0025,0.588,0.5,0.008,0.008,20,0.062,280,7.9,4.18,0.005,12,0.0006505,0.00605,0.00010065,0.00463,5e-04,146,26.7,26.4,5038.8,0,0,1,0
"DLPUE2058","DLPUE2058-070413","RIO ACATLAN",41365,2013,"INCUMPLE","LÓTICO",9300,12000,9300,1.511,0.023,28.391,0.5,6.435,2.291,80,0.326,1221,7.86,0.5,5.38923398374501,130,0.0006505,6e-04,0.00010065,0.00405,0.0038697040601106,820,31.1,28.1,60.3,0,0,1,1
"DLPUE1994","DLPUE1994-060414","RIO SAN LORENZO 1",41733,2014,"INCUMPLE","LÓTICO",24000,24000,24000,0.576,0.0025,12.896,0.5,1.916,1.834,60,0.554,463,7.6,3.4,0.166,60,0.0006505,0.006,0.00010065,0.0115,5e-04,121.5,15.7,13.6,5,0,0,1,1
"DLPUE2044","DLPUE2044-200915","RIO NEXAPA 16",42264,2015,"INCUMPLE","LÓTICO",210,280,200,0.054,0.038,0.757,0.5,0.127,0.117,60,0.269,1430.3,8.5,7.07,0.005,65,0.0006505,0.0071,0.00010065,0.0080132938171305,5e-04,656,25.3,22.5,3382,0,0,1,1
"DLPUE2050","DLPUE2050-150614","ATOYAC LA CARMELITA P1 (26)",41802,2014,"INCUMPLE","LÓTICO",24000,24000,4600,3.532,0.023,6.617,0.5,1.282,0.51,100,0.342,555,7.7,4.2,0.75,2490,0.0006505,6e-04,0.0011,0.00021,0.023,216,19.2,19.6,15167,0,0,1,1
"DLPUE2026","DLPUE2026-110819","NEXAPA LOS MOLINOS P1 (31)",43684,2019,"CUMPLE","LÓTICO",24196,24196,24196,1.108226,0.364296,2.886896,0.5,0.82344,0.7072,200,0.471,429,8.1,5.66,0.39,36.42,0.0006505,0.022,0.00010065,0.0166,0.0012,129.808,23,21,74.7,0,0,1,0
"DLPUE2053","DLPUE2053-070713","ECHEVERRIA ANTES DE LA PLANTA DE TRATAMIENTO ATOYAC SUR",41459,2013,"INCUMPLE","LÓTICO",460,1100,460,11.575,0.0025,16.241,1.12,2.953,2.637,20,0.344,1004,7.83,0.5,5.67126484864088,385,0.0006505,0.1138,4e-04,0.0688,0.0020104014854165,390,27.1,21.2,10877.1,0,0,1,1
"DLPUE2069M1","DLPUE2069M1-110819","PUENTE MARQUEZ",43683,2019,"CUMPLE","LÓTICO",24196,24196,550,0.277541,0.0025,1.566331,0.5,0.28506,0.21008,30,0.109,912,7.4,7.59,0.193,3090,0.0006505,0.0314,0.00010065,0.0123,0.0012,273.449,28,28,5644.9,0,0,1,0
"DLPUE2011","DLPUE2011-150215","VILLA AVILA CAMACHO",42049,2015,"CUMPLE","LÓTICO",480,8164,175,0.07176,0.0413,0.3406,0.5,0.0132,0.00075,5,0.0045,279,8.1,6.04,0.0683,5,0.0006505,6e-04,0.00010065,0.00021,5e-04,143,18,17,3925,0,0,1,0
"DLPUE2047","DLPUE2047-281012","RIO NEXAPA 19",41251,2012,"CUMPLE","LÓTICO",1.5,1.5,1.5,0.65,0.027,4.85,0.5,12.159,38.1572,2.5,0.0045,1905,8.26,3.5,1.75167694459109,20,0.018,6e-04,0.00010065,0.00021,0.001012082781223,82.32,28,22.4,197.4,0,0,1,0
"DLPUE2085","DLPUE2085-300417","RIO NEXAPA 21",42850,2017,"CUMPLE","LÓTICO",1500,1500,930,0.129,0.0025,2.532,0.5,7e-04,0.00075,30,0.075,2419,7.5,4.55,0.69,13,0.0006505,0.00607,0.00010065,0.00566,5e-04,1012,35.8,28.3,867.7,0,0,1,0
"DLPUE1984","DLPUE1984-160820","SABORMEX, S.A. DE C.V. (ANTES CAFES DE VERACRUZ, S.A. DE C.V.) (AGUAS ARRIBA)",44053,2020,"INCUMPLE","LÓTICO",24000,24130.5536521806,1500,11.439,0.0025,12.493,0.5,3.573,2.842,150,0.750793227413502,1433,7.5,1.18,1.936,54.9,0.0006505,0.07605,0.00010065,0.01138,5e-04,190,24.7,20.3,13.6,1,1,1,1
"DLPUE2031","DLPUE2031-250514","RIO NEXAPA 10",41776,2014,"INCUMPLE","LÓTICO",24000,24000,4600,10.59,0.203,24.306,0.5,3.58,2.067,30,0.146,1225,7.4,4.1,0.32,95.4,0.0006505,0.0198,0.00010065,0.0198,0.025,380.2,21.4,16.8,1073,0,1,1,1
"DLPUE2028","DLPUE2028-280413","RIO NEXAPA 8",41386,2013,"INCUMPLE","LÓTICO",390,750,110,1.495,0.041,28.188,0.5,7.076,2.931,250,0.394,1736,7.94,0.5,5.8123968697479,52,0.0006505,6e-04,0.00010065,0.00021,0.0035906622714489,590,25.5,21.6,2506.1,1,0,1,1
"DLPUE2032","DLPUE2032-180916","RIO NEXAPA 12",42629,2016,"INCUMPLE","LÓTICO",24000,24000,24000,0.212,0.457,8.416,0.5,1.031,0.846,100,0.12,794,7.8,2.17,0.14,320,0.0006505,0.0183,0.00010065,0.01296,5e-04,370,23.5,19.6,698.6,0,0,1,1
"DLPUE2074","DLPUE2074-220913","CERVECERIA CUAUHTEMOC MOCTEZUMA, S.A. DE C.V.(AGUAS ARRIBA)",41534,2013,"INCUMPLE","LÓTICO",210,240,150,1.578,0.163,4.266,3.93,4.713,2.178,20,0.301,803,6.96,0.5,3.5759522031472,5,0.0006505,6e-04,0.00054,0.00021,0.0182658320047413,260,15,14.4,5,1,0,1,1
"DLPUE2035","DLPUE2035-250218","RIO NEXAPA 14",43154,2018,"INCUMPLE","LÓTICO",24000,24000,24000,2.809,0.846,3.219,0.5,2.27,1.885,60,0.062,1153,8.2,2.58,1.928,151.85,0.0006505,0.04503,0.00010065,0.01701,5e-04,398,22,18,4006.2,0,1,1,1
"OCGCE3246","OCGCE3246-190317","PASO JARDIN",42808,2017,"CUMPLE","LÓTICO",24000,24000,4600,0.236,0.0025,0.939,0.5,0.044,0.031,50,0.075,201,8.6,5.16,0.22,71,0.0006505,6e-04,0.00010065,0.00599,5e-04,88,24.1,21.6,10844.8507762417,0,0,1,0
"DLPUE2033","DLPUE2033-260317","RIO NEXAPA 13",42818,2017,"INCUMPLE","LÓTICO",24000,24000,24000,11.027,0.0025,27.864,0.5,1.223,0.583,100,0.299,952,7.6,1.26,5,92.86,0.0006505,0.00519,0.00010065,0.00917,5e-04,314,28.3,21.3,148.1,0,0,1,1
"DLPUE2029","DLPUE2029-090417","RIO NEXAPA 9",42829,2017,"INCUMPLE","LÓTICO",24000,24000,24000,31.932,0.0025,60.558,1.11,5.795,3.85,300,1.178,983.3,8,0.5,9.5,208.7,0.0006505,0.00752,0.00010065,0.01623,5e-04,502,24.5,20.5,3248.1,1,1,1,1
"DLPUE2083","DLPUE2083-091218","RIO MIXTECO (ANTES DE CONFLUIR AL RIO ATOYAC)",43437,2018,"INCUMPLE","LÓTICO",11000,24000,4600,0.00175,0.0025,0.114,0.5,0.068,0.039,60,0.088,622,8,5.14,0.005,324,0.0006505,0.15965,0.00010065,0.00725,5e-04,322,26.8,25,14033.4318397127,0,0,1,1
"DLPUE2003","DLPUE2003-060817","RIO NECAXA 5",42958,2017,"CUMPLE","LÓTICO",24000,24000,24000,0.07,0.0025,0.289,0.5,0.046,0.023,80,0.052,236,8.2,5.98,0.005,98.51,0.0006505,0.0334,0.00010065,0.01341,0.008,96,24.6,24,16714.7047213605,0,0,1,0
"DLPUE2041","DLPUE2041-251015","NEXAPA ENTRADA A PUCTLA",42305,2015,"CUMPLE","LÓTICO",24000,24000,11000,0.211,0.296,1.653,0.5,0.583,0.291,60,0.179,1024.3,8,3.29,0.65,25,0.0006505,6e-04,0.00010065,0.0109,5e-04,430,24.3,21.3,314,0,0,1,0
"DLPUE2044","DLPUE2044-240814","RIO NEXAPA 16",41849,2014,"INCUMPLE","LÓTICO",24000,24000,4600,0.368,0.906,17.047,0.5,0.536,0.36,40,0.168,1143,8.2,3.2,0.162,368.3,0.0006505,0.0144,0.00010065,0.0153,5e-04,633.6,21,20.4,3448,0,0,1,1
"DLPUE2041","DLPUE2041-210413","NEXAPA ENTRADA A PUCTLA",41382,2013,"INCUMPLE","LÓTICO",2100,4600,1500,1.472,0.0025,22.285,0.5,3.848,3.015,200,0.913,1662,7.72,0.5,3.70821421069384,35,0.0006505,6e-04,0.00010065,0.00021,0.0076913544018991,590,33.2,26.1,439.9,0,0,1,1
"DLPUE2009","DLPUE2009-030416","AGUA FRIA",42457,2016,"CUMPLE","LÓTICO",1515,4884,201,0.1019,0.0025,0.4558,0.5,7e-04,0.00075,5,0.0045,357,8.1,7.9,0.005,5,0.0006505,6e-04,0.00010065,0.00021,5e-04,198,29,28.5,90,0,0,1,0
"DLPUE2009","DLPUE2009-271013","AGUA FRIA",41572,2013,"CUMPLE","LÓTICO",1500,1500,86,0.071,0.005,0.176,0.5,7e-04,0.00075,30,0.068,278,8.15,8.15,0.0848117578281117,5,0.0006505,6e-04,0.002,0.00021,0.0024894384532354,144,24.3,24.3,50890,0,0,1,0
"DLPUE2083","DLPUE2083-280914","RIO MIXTECO (ANTES DE CONFLUIR AL RIO ATOYAC)",41905,2014,"CUMPLE","LÓTICO",11000,24000,2400,0.047,0.0025,0.047,0.5,0.186,0.107,100,0.11,656,7,6,0.151,725,0.0006505,6e-04,0.00010065,0.0029,5e-04,370.3,23,24.5,15235.7377363553,0,0,1,0
"DLPUE2001","DLPUE2001-141018","RIO NECAXA 1",43383,2018,"CUMPLE","LÓTICO",24000,24000,11000,0.043,0.0025,0.0809999999999999,0.5,0.018,0.011,2.5,0.011,484,8,5.75,0.005,18,0.0006505,0.0322,0.00010065,0.00833,5e-04,206,31.2,23.6,4056,0,0,1,0
"DLPUE2053","DLPUE2053-070914","ECHEVERRIA ANTES DE LA PLANTA DE TRATAMIENTO ATOYAC SUR",41887,2014,"INCUMPLE","LÓTICO",24000,24000,4600,2.032,0.103,6.654,0.5,0.652,0.43,40,0.32,666,7.7,2.1,0.511,460,0.0006505,0.0058,0.00010065,0.0085,5e-04,200,19.9,18,3256.27382233332,0,1,1,1
"DLPUE1989","DLPUE1989-080516","LA AUTOPISTA P1 (24)",42493,2016,"INCUMPLE","LÓTICO",24000,24000,750,21.898,0.0025,26.089,0.5,2.563,2.524,100,0.19,954,7.9,3.72,2.08,47,0.0006505,0.0055,0.00010065,0.0089,5e-04,242,19.4,18.4,3964.9,0,0,1,1
"DLPUE2024","DLPUE2024-080418","RIO NEXAPA 5",43199,2018,"INCUMPLE","LÓTICO",24000,24000,24000,9.319,1.451,11.925,0.5,1.482,1.233,10,0.153,586,7.7,1.72,2.06,5,0.0006505,0.15239,0.00010065,0.00783,0.006,202,25.6,20.2,92.6,0,0,1,1
"DLPUE2037","DLPUE2037-050217","BACARDI Y COMPAÑIA, S.A. DE C.V. (AGUAS ABAJO)",42768,2017,"CUMPLE","LÓTICO",24000,24000,24000,7.374,2.475,16.516,0.5,2.118,1.853,30,0.138,1369,8,4.7,0.242,30,0.0006505,6e-04,0.00010065,0.00814,5e-04,426,22,17.9,1129.4,0,0,1,0
"DLPUE2073","DLPUE2073-251112","CERVECERIA CUAUHTEMOC MOCTEZUMA, S.A. DE C.V. (AGUAS ABAJO)",41232,2012,"INCUMPLE","LÓTICO",1.5,1.5,1.5,49.48,0.0025,79.23,0.5,14.752,45.141,20,0.0311,3200,7.96,0.5,28.4518333333333,425,0.019,6e-04,0.0549303899999999,0.00021,0.0094469580645161,60.76,25,20.6,113.7,1,0,1,1
"DLPUE2048","DLPUE2048-080418","RIO NEXAPA 1",43201,2018,"CUMPLE","LÓTICO",90,230,15,0.191,0.0025,0.206,0.5,0.71,0.065,10,0.115,215,7.9,5.07,0.005,17,0.0006505,0.06364,0.00010065,0.00841,0.005,86,20.4,13.5,21.9,0,0,1,0
"DLPUE2033","DLPUE2033-231016","RIO NEXAPA 13",42664,2016,"INCUMPLE","LÓTICO",24000,24000,4600,8.827,0.871,11.548,0.5,1.723,1.219,30,0.17,811,7.4,2.86,1.02,20,0.0006505,6e-04,0.00010065,0.00614,5e-04,250,24.8,20.5,88.9,0,0,1,1
"DLPUE2048","DLPUE2048-160717","RIO NEXAPA 1",42928,2017,"CUMPLE","LÓTICO",24000,24000,24000,0.163,0.046,2.527,0.5,0.978,0.301,500,0.278,173.6,7.1,5.15,0.005,466.67,0.0006505,0.01989,0.00010065,0.03195,5e-04,78,20,13.8,12.8,0,0,1,0
"DLPUE2044","DLPUE2044-110819","RIO NEXAPA 16",43687,2019,"CUMPLE","LÓTICO",24196,24196,24196,0.829178,0.565616,1.180748,0.5,0.67504,0.5285,25,0.153,1288,7.9,7.41,0.256,71,0.0006505,0.02,0.00010065,0.0053,0.0014,473.295,27.1,21,8763.93506190638,0,0,1,0
"DLPUE2063M1","DLPUE2063M1-100618","ARROYO PRIETO",43256,2018,"INCUMPLE","LÓTICO",24000,24000,24000,41.784,0.0025,43.194,0.5,6.774,4.808,150,1.798,1182,8.1,0.5,12.05,62.96,0.0006505,0.02025,0.00010065,0.01439,5e-04,330,24.5,18.5,25.7,1,1,1,1
"DLPUE2044","DLPUE2044-010315","RIO NEXAPA 16",42061,2015,"CUMPLE","LÓTICO",24000,24000,4600,0.124,0.031,0.402,0.5,0.115,0.085,5,0.064,1634,7.9,3.2,0.25,13,0.0006505,0.0065,0.00010065,0.0065,5e-04,832,18.1,17.2,1037,0,0,1,0
"DLPUE2048","DLPUE2048-040813","RIO NEXAPA 1",41488,2013,"INCUMPLE","LÓTICO",210,240,120,0.056,0.023,0.056,0.5,2.649,0.383,80,0.084,176,7.24,6,0.261630850409303,292,0.0006505,0.008,0.00010065,0.005,0.0128541771397844,260,20.3,15.4,19.4,0,0,1,1
"DLPUE2069M1","DLPUE2069M1-230717","PUENTE MARQUEZ",42964,2017,"INCUMPLE","LÓTICO",1500,11000,280,0.398,0.0025,0.608,0.5,0.198,0.132,80,0.147,918,8,4.96,0.005,353.06,0.0006505,0.00637,0.00010065,0.0082,5e-04,358,26.8,23.3,3752.97375795278,0,0,1,1
"DLPUE2026","DLPUE2026-230613","NEXAPA LOS MOLINOS P1 (31)",41443,2013,"INCUMPLE","LÓTICO",210,210,210,2.385,0.0025,5.689,0.5,0.688,1.461,50,0.371,687,7.49,5.7,1.53462256843636,5,0.0006505,6e-04,0.00010065,0.00021,0.0137260989777804,350,18.8,17.3,5,1,0,1,1
"DLPUE2086","DLPUE2086-010315","RIO NEXAPA 20",42058,2015,"CUMPLE","LÓTICO",24000,24000,11000,0.00175,0.0025,0.893,0.5,0.072,0.065,5,0.075,2100,8.1,3.85,0.28,15,0.0006505,6e-04,0.0013,0.0061,5e-04,1040,23.3,22.3,3069,0,0,1,0
"DLPUE0030RNL","DLPUE2036-070622","RED PRIMARIA Y SECUNDARIA DE AGUAS SUPERFICIALES NEXAPA LAS FAJANAS",44719,2022,"INCUMPLE","LÓTICO",2.3e+07,2.3e+07,1972040,16.97,0.655,23.35,1.23758895776084,5.1,3.59,80,0.65590793536927,1416,7.99,5.08,0.75,117.78,0.0007226306274754,0.0354919685136734,0.0003422276062411,0.0420322593153277,0.0273331217787394,395.69,23,31,7484.56372623383,1,1,1,1
"DLPUE2010","DLPUE2010-230815","RIO CAZONES 5",42295,2015,"CUMPLE","LÓTICO",3076,7701,10,0.023751,0.556327,0.231191,0.5,0.046,0.021,2.5,0.0416,333,8.3,7.66,0.005,5,0.0006505,6e-04,0.00010065,0.00021,5e-04,139.38,24.7,23.8,5464,0,0,1,0
