"CLAVE SITIO","CLAVE DE MONITOREO","NOMBRE DEL SITIO","FECHA REALIZACIÓN","Año","DQO_ESTADO","TIPO CUERPO DE AGUA","COLI_FEC","COLI_TOT","E_COLI","N_NH3","N_NO2","N_TOTK","TOX_D_48_UT","P_TOT","ORTO_PO4","COLOR_VER","ABS_UV","CONDUC_CAMPO","pH_CAMPO","OD_mgL","SAAM","SST","CD_TOT","CR_TOT","HG_TOT","NI_TOT","CN_TOT","DUR_TOT","TEMP_AMB","TEMP_AGUA","CAUDAL","COT_NOM","TOX_NOM","TIPO_LOTICO","y"
"DLPUE2017","DLPUE2017-230820","PUENTE CARRETERA SAN MARTIN-TLAXCALA P1(15)",44061,2020,"INCUMPLE","LÓTICO",24000,24130.5536521806,24000,2.946,0.0025,3.114,0.5,0.877,0.723,20,0.15059116656111,393,7.5,2.03,1.416,54,0.0006505,0.01135,0.00010065,0.01114,5e-04,132,23.7,18.3,1376.7,0,0,1,1
"DLPUE2085","DLPUE2085-290913","RIO NEXAPA 21",41541,2013,"INCUMPLE","LÓTICO",140,150,110,0.5,0.074,1.172,0.5,1.822,0.302,300,0.174,697,7.85,4.3,0.126622034784516,1650,0.003,0.048,0.00010065,0.01,0.0008100029837813,340,27.3,24.5,97014.2,0,0,1,1
"DLPUE2008","DLPUE2008-281018","LAZARO CARDENAS",43395,2018,"CUMPLE","LÓTICO",11000,24000,4600,0.00175,0.0025,0.133,0.5,0.156,0.044,40,0.1,215,7.4,7.91,0.005,270.77,0.0006505,0.01234,0.00010065,0.01198,5e-04,179.78,24.7,22.6,26940.8296622138,0,0,1,0
"DLPUE2003","DLPUE2003-020214","RIO NECAXA 5",41670,2014,"CUMPLE","LÓTICO",24000,24000,4600,0.14,0.034,0.14,0.5,0.074,0.057,5,0.051,1759,7.32,5.71,0.2,5,0.0006505,6e-04,0.00010065,0.006,5e-04,118.8,21.5,17.7,10915,0,0,1,0
"DLPUE2034","DLPUE2034-310515","RIO NEXAPA 15",42153,2015,"INCUMPLE","LÓTICO",24000,24000,11000,1.075,0.074,7.467,0.5,1.411,1.319,40,0.208,571,7.8,3.79,0.95,2020,0.0072,0.1043,0.00010065,0.0893,5e-04,384,22.1,20.2,4496.24699402409,0,1,1,1
"DLPUE1992M1","DLPUE1992M1-170219","RA-1 RIO ATOYAC, ANTES TLAHUAPAN (ESTACIÓN TESTIGO)",43510,2019,"INCUMPLE","LÓTICO",24000,24000,24000,1.822,0.06,4.592,0.5,0.64,0.502,20,0.208,325,7.4,5.86,3.015,18,0.0006505,0.00655,0.00010065,0.00461,5e-04,104,17.8,14,624,0,0,1,1
"DLPUE1984","DLPUE1984-161218","SABORMEX, S.A. DE C.V. (ANTES CAFES DE VERACRUZ, S.A. DE C.V.) (AGUAS ARRIBA)",43448,2018,"INCUMPLE","LÓTICO",24000,24000,24000,16.772,0.0025,36.03,4.1,4.367,0.731,150,0.64,1492,7.8,0.5,6.859,146.88,0.0006505,0.06845,0.00073,0.00293,5e-04,140,26.8,20,5.5,1,1,1,1
"DLPUE2022M1","DLPUE2022M1-050415","BARRANCA HONDA",42093,2015,"INCUMPLE","LÓTICO",24000,24000,4600,1.588,0.0025,41.57,1.44,1.279,1.259,300,1.17,1040,7.6,0.5,25.4,135,0.0006505,0.0109,0.00010065,0.0083,5e-04,168,26.2,23.8,156,1,1,1,1
"DLPUE2085","DLPUE2085-111112","RIO NEXAPA 21",41264,2012,"CUMPLE","LÓTICO",1.5,1.5,1.5,0.39,0.006,1.42,0.5,1.349,4.128,2.5,0.0045,2242.75,7.9,30,1.45797062387477,5,0.007,6e-04,0.00010065,0.00021,0.0006231444839235,256.76,25,21.3,7900,0,0,1,0
"DLPUE2047","DLPUE2047-290614","RIO NEXAPA 19",41814,2014,"INCUMPLE","LÓTICO",24000,24000,1500,0.401,0.09,0.401,0.5,0.577,0.46,150,0.363,555.6,7.1,4.5,0.22,1240,0.0006505,0.0334,0.00010065,0.0266,5e-04,475.2,30.9,28,22213,0,0,1,1
